run,backbone,alignment,uniformity,anisotropy,cka_vs_pretrained,proto_cos_mean,proto_cos_std,sts_b_dev_spearman
r4_anchor_curriculum_velocity_seed43,answerdotai/ModernBERT-base,0.14014354348182678,-0.47542986273765564,0.601593017578125,0.8027826048883813,0.05440502241253853,0.17963770031929016,0.6024136530778966
r5a_temp_schedule,answerdotai/ModernBERT-base,0.1424022614955902,-0.540070116519928,0.5930200219154358,0.8057664798883958,0.0018693828023970127,0.11456132680177689,0.693064263047227
r5a_temp_schedule_seed43,answerdotai/ModernBERT-base,0.14703787863254547,-0.5602600574493408,0.5978856682777405,0.7708601764438896,0.003124710638076067,0.09618263691663742,0.6861341384590288
r5b_momentum_ramp,answerdotai/ModernBERT-base,0.13172541558742523,-0.5015856623649597,0.5948898792266846,0.7909994750390864,0.009381784126162529,0.15514376759529114,0.6836918967037714
r5b_momentum_ramp_seed43,answerdotai/ModernBERT-base,0.13850924372673035,-0.4896637499332428,0.6273881793022156,0.8144658511610189,0.007376390974968672,0.13783672451972961,0.666399891924176
r5c_fixed_high_t,answerdotai/ModernBERT-base,0.12584778666496277,-0.45694759488105774,0.6116249561309814,0.7499501919496279,0.056515101343393326,0.18596293032169342,0.5974113998659156
r5c_fixed_high_t_ext3000,answerdotai/ModernBERT-base,0.15740159153938293,-0.4867401719093323,0.5699769258499146,0.6630986290458006,0.2380008101463318,0.2513256072998047,0.46105650651081775
r5c_fixed_high_t_seed43,answerdotai/ModernBERT-base,0.12168645858764648,-0.4113919734954834,0.6419519186019897,0.7716655381252739,0.06283965706825256,0.17529775202274323,0.5827894513860846
r5d_bert_combined,bert-base-uncased,0.2191026359796524,-0.7724920511245728,0.4873913824558258,0.9414838607751886,6.0427548305597156e-05,0.0674344152212143,0.6118603491732928
r5d_bert_combined_seed43,bert-base-uncased,0.21764862537384033,-0.7626209855079651,0.4947177469730377,0.9428728755253862,0.002200433751568198,0.06848149001598358,0.6106085975937329
r5d_combined,answerdotai/ModernBERT-base,0.14604660868644714,-0.5743246674537659,0.5843532681465149,0.7768797388942182,0.0005811821320094168,0.0786549299955368,0.7150866343228359
r5d_combined_ext3000,answerdotai/ModernBERT-base,0.1874288022518158,-0.6615073084831238,0.477049857378006,0.7615391675536188,0.005867704749107361,0.15005254745483398,0.6785977316651274
r5d_combined_ext5000,answerdotai/ModernBERT-base,0.15753519535064697,-0.5130608677864075,0.5538029074668884,0.7052921256910215,0.10699675977230072,0.20491036772727966,0.5450333527193033
r5d_combined_seed43,answerdotai/ModernBERT-base,0.149257630109787,-0.564244270324707,0.5970709323883057,0.788465885069429,0.0028747227042913437,0.07571929693222046,0.7020103913774024
pretrained_ModernBERT-base,answerdotai/ModernBERT-base,0.05532456561923027,-0.1718585342168808,0.8929568529129028,1.0,nan,nan,0.5566334054609992
pretrained_bert-base-uncased,bert-base-uncased,0.20366384088993073,-0.674403190612793,0.5793028473854065,1.0,nan,nan,0.5931213520996469
