run,step,H_p_bar_t,H_pt,KL_pt_ps,L_iso,L_iso_cov,L_iso_mean,batch_KL,grad_norm_total,infonce_acc,loss,lr,neg_cos,pos_cos,teacher_momentum,teacher_temp
simcse_repro_1epoch_s42,1180,,,,,,,,0.0263,1.0,0.0003,2.77e-05,0.0337,0.8011,,
simcse_repro_1epoch_s42,1190,,,,,,,,0.0068,1.0,0.0001,2.77e-05,0.027,0.7995,,
simcse_repro_1epoch_s42,1200,,,,,,,,0.0049,1.0,0.0001,2.77e-05,0.0254,0.7996,,
simcse_repro_1epoch_s42,1210,,,,,,,,0.0021,1.0,0.0001,2.76e-05,0.0242,0.8097,,
simcse_repro_1epoch_s42,1220,,,,,,,,0.0045,1.0,0.0001,2.76e-05,0.0227,0.8015,,
simcse_repro_1epoch_s42,1230,,,,,,,,0.0032,1.0,0.0001,2.76e-05,0.0204,0.8055,,
simcse_repro_1epoch_s42,1240,,,,,,,,0.0457,1.0,0.0005,2.76e-05,0.0201,0.8004,,
simcse_repro_1epoch_s42,1250,,,,,,,,0.0056,1.0,0.0001,2.76e-05,0.0223,0.7954,,
simcse_repro_1epoch_s42,1260,,,,,,,,0.003,1.0,0.0001,2.75e-05,0.0202,0.7952,,
simcse_repro_1epoch_s42,1270,,,,,,,,0.004,1.0,0.0001,2.75e-05,0.0185,0.7974,,
simcse_repro_1epoch_s42,1280,,,,,,,,0.0045,1.0,0.0001,2.75e-05,0.017,0.795,,
simcse_repro_1epoch_s42,1290,,,,,,,,0.0035,1.0,0.0001,2.75e-05,0.0205,0.8042,,
simcse_repro_1epoch_s42,1300,,,,,,,,0.349,1.0,0.0025,2.75e-05,0.018,0.7962,,
simcse_repro_1epoch_s42,1310,,,,,,,,0.0049,1.0,0.0001,2.74e-05,0.0241,0.8008,,
simcse_repro_1epoch_s42,1320,,,,,,,,0.0444,1.0,0.0004,2.74e-05,0.027,0.7982,,
simcse_repro_1epoch_s42,1330,,,,,,,,0.0061,1.0,0.0001,2.74e-05,0.0172,0.7978,,
simcse_repro_1epoch_s42,1340,,,,,,,,0.0096,1.0,0.0001,2.74e-05,0.0204,0.7989,,
simcse_repro_1epoch_s42,1350,,,,,,,,0.0023,1.0,0.0001,2.74e-05,0.0229,0.7975,,
simcse_repro_1epoch_s42,1360,,,,,,,,0.0039,1.0,0.0001,2.73e-05,0.0179,0.792,,
simcse_repro_1epoch_s42,1370,,,,,,,,0.0036,1.0,0.0001,2.73e-05,0.0313,0.7978,,
simcse_repro_1epoch_s42,1380,,,,,,,,0.005,1.0,0.0001,2.73e-05,0.0346,0.7971,,
simcse_repro_1epoch_s42,1390,,,,,,,,0.006,1.0,0.0001,2.73e-05,0.0281,0.7976,,
simcse_repro_1epoch_s42,1400,,,,,,,,0.0997,1.0,0.0009,2.73e-05,0.0219,0.7995,,
simcse_repro_1epoch_s42,1410,,,,,,,,0.005,1.0,0.0001,2.73e-05,0.0313,0.7998,,
simcse_repro_1epoch_s42,1420,,,,,,,,0.0106,1.0,0.0001,2.72e-05,0.041,0.8071,,
simcse_repro_1epoch_s42,1430,,,,,,,,0.0052,1.0,0.0001,2.72e-05,0.0368,0.794,,
simcse_repro_1epoch_s42,1440,,,,,,,,0.046,1.0,0.0004,2.72e-05,0.0375,0.7905,,
simcse_repro_1epoch_s42,1450,,,,,,,,0.0166,1.0,0.0002,2.72e-05,0.0326,0.7995,,
simcse_repro_1epoch_s42,1460,,,,,,,,0.0035,1.0,0.0001,2.72e-05,0.0423,0.7972,,
simcse_repro_1epoch_s42,1470,,,,,,,,0.0097,1.0,0.0002,2.71e-05,0.0306,0.7825,,
simcse_repro_1epoch_s42,1480,,,,,,,,0.0066,1.0,0.0001,2.71e-05,0.0189,0.7991,,
simcse_repro_1epoch_s42,1490,,,,,,,,0.0057,1.0,0.0001,2.71e-05,0.0214,0.7934,,
simcse_repro_1epoch_s42,1500,,,,,,,,0.0096,1.0,0.0001,2.71e-05,0.021,0.7938,,
simcse_repro_1epoch_s42,1510,,,,,,,,0.0062,1.0,0.0001,2.71e-05,0.0224,0.7889,,
simcse_repro_1epoch_s42,1520,,,,,,,,0.0062,1.0,0.0001,2.7e-05,0.0188,0.8058,,
simcse_repro_1epoch_s42,1530,,,,,,,,0.009,1.0,0.0002,2.7e-05,0.0161,0.7887,,
